"""%Y-%m-%d""";X.DJI.Close;X.GDAXI.Close
2001-03-27;0.02649;0.03622
2001-03-28;-0.01644;-0.02053
2001-03-29;0.0014;0.01056
2001-03-30;0.008103;-0.008429
2001-04-02;-0.01026;-0.01194
2001-04-03;-0.03034;-0.03665
2001-04-04;0.003127;0.007927
2001-04-05;0.04144;0.0309
2001-04-06;-0.01288;-0.01298
2001-04-09;0.005506;0.01431
2001-04-10;0.02583;0.02272
2001-04-11;-0.008875;0.006291
2001-04-12;0.01127;0.008557
2001-04-13;0;0
2001-04-16;0.003118;0
2001-04-17;0.00571;-0.01118
2001-04-18;0.03832;0.0379
2001-04-19;0.007309;0.002759
2001-04-20;-0.0107;-0.008764
2001-04-23;-0.004511;-0.01256
2001-04-24;-0.007423;0.01201
2001-04-25;0.01621;-0.001533
2001-04-26;0.0063;0.001384
2001-04-27;0.01095;0.008388
2001-04-30;-0.00697;0.01435
2001-05-01;0.0151;0
2001-05-02;-0.001989;-0.008121
2001-05-03;-0.007385;-0.02027
2001-05-04;0.01422;0.008033
2001-05-07;-0.001468;-0.002554
2001-05-08;-0.004735;-0.002273
2001-05-09;-0.00152;-0.007358
2001-05-10;0.003991;0.01656
2001-05-11;-0.008203;-0.003926
2001-05-14;0.005163;-0.01251
2001-05-15;-0.0004009;0.0009394
2001-05-16;0.03105;0.01278
2001-05-17;0.002908;0.004118
2001-05-18;0.004715;0.002113
2001-05-21;0.003196;0.01013
2001-05-22;-0.007141;0.00331
2001-05-23;-0.01357;-0.008864
2001-05-24;0.001522;0.01019
2001-05-25;-0.01058;-0.008851
2001-05-28;0;-0.001084
2001-05-29;0.003064;-0.01564
2001-05-30;-0.0152;-0.01301
2001-05-31;0.003608;0.01349
2001-06-01;0.007165;0.0003119
2001-06-04;0.006449;0.008546
2001-06-05;0.01028;0.01037
2001-06-06;-0.009494;-0.007992
2001-06-07;0.00185;-0.001323
2001-06-08;-0.01031;0.0004785
2001-06-11;-0.005015;-0.003963
2001-06-12;0.002404;-0.01695
2001-06-13;-0.007036;0.008675
2001-06-14;-0.01683;-0.01329
2001-06-15;-0.006239;-0.01944
2001-06-18;0.002044;-0.007831
2001-06-19;-0.004586;0.009073
2001-06-20;0.004769;-0.007881
2001-06-21;0.006376;0.008531
2001-06-22;-0.0104;0.002593
2001-06-25;-0.00951;-0.006662
2001-06-26;-0.003026;-0.009282
2001-06-27;-0.003601;-0.002515
2001-06-28;0.01251;0.02349
2001-06-29;-0.006057;0.0144
2001-07-02;0.008658;0.008402
2001-07-03;-0.002137;-0.008657
2001-07-04;0;-0.006812
2001-07-05;-0.008669;-0.002752
2001-07-06;-0.02192;-0.02312
2001-07-09;0.004547;0.001323
2001-07-10;-0.01209;-0.009163
2001-07-11;0.006405;-0.0025
2001-07-12;0.02297;0.01507
2001-07-13;0.005716;0.006453
2001-07-16;-0.006372;-0.0126
2001-07-17;0.01274;-0.001214
2001-07-18;-0.003453;-0.02044
2001-07-19;0.003793;0.01753
2001-07-20;-0.003148;-0.01132
2001-07-23;-0.0145;0.004789
2001-07-24;-0.01774;-0.02243
2001-07-25;0.01594;-0.01432
2001-07-26;0.00479;0.01652
2001-07-27;-0.003733;0.01384
2001-07-30;-0.001436;0.006466
2001-07-31;0.01157;0.01184
2001-08-01;-0.001217;-0.004439
2001-08-02;0.00391;-0.009981
2001-08-03;-0.003646;-0.007192
2001-08-06;-0.01066;0.00177
2001-08-07;0.005506;0.001125
2001-08-08;-0.01593;-0.02428
2001-08-09;0.0004915;-0.01838
2001-08-10;0.01136;-0.0144
2001-08-13;-3.26E-05;0.003725
2001-08-14;-0.0003591;0.0122
2001-08-15;-0.00638;-0.01189
2001-08-16;0.004491;-0.01729
2001-08-17;-0.01471;-0.02642
2001-08-20;0.007713;-0.00274
2001-08-21;-0.01424;0.001589
2001-08-22;0.01005;0.0007857
2001-08-23;-0.004657;0.00646
2001-08-24;0.01879;0.02508
2001-08-27;-0.003924;0.003515
2001-08-28;-0.01556;-0.01823
2001-08-29;-0.01291;-0.0007123
2001-08-30;-0.01712;-0.02725
2001-08-31;0.003037;0.004979
2001-09-03;0;-0.0183
2001-09-04;0.004787;0.02213
2001-09-05;0.003573;-0.03121
2001-09-06;-0.01937;-0.03481
2001-09-07;-0.02417;-0.03013
2001-09-10;-3.54E-05;-0.01288
2001-09-11;0;0
2001-09-12;0;-0.06652
2001-09-13;0;0.005211
2001-09-14;0;-0.065
2001-09-17;-0.07396;0.03055
2001-09-18;-0.001941;-0.01157
2001-09-19;-0.01634;-0.03717
2001-09-20;-0.0447;-0.05915
2001-09-21;-0.0169;-0.005908
2001-09-24;0.04372;0.06429
2001-09-25;0.0065;-0.007349
2001-09-26;-0.01075;0.02127
2001-09-27;0.01322;0.02154
2001-09-28;0.01896;0.02912
2001-10-01;-0.001213;-0.01595
2001-10-02;0.01279;0.01504
2001-10-03;0.01916;0.03031
2001-10-04;-0.006918;0.02481
2001-10-05;0.006478;-0.01338
2001-10-08;-0.005699;0.001661
2001-10-09;-0.001711;-0.005069
2001-10-10;0.0206;0.03099
2001-10-11;0.01819;0.02256
2001-10-12;-0.007069;-0.01998
2001-10-15;0.0003702;-0.01671
2001-10-16;0.003909;0.017
2001-10-17;-0.01625;0.003956
2001-10-18;-0.007583;-0.01528
2001-10-19;0.004452;-0.01339
2001-10-22;0.01861;0.02317
2001-10-23;-0.003948;0.01821
2001-10-24;0.000593;0.02262
2001-10-25;0.01247;-0.0202
2001-10-26;0.008656;0.02195
2001-10-29;-0.02931;-0.03374
2001-10-30;-0.01604;-0.02529
2001-10-31;-0.005148;0.003329
2001-11-01;0.02059;0.01675
2001-11-02;0.006417;-0.01146
2001-11-05;0.01252;0.0368
2001-11-06;0.01577;-0.01003
2001-11-07;-0.003839;0.03199
2001-11-08;0.003464;0.02698
2001-11-09;0.002134;-0.01686
2001-11-12;-0.005597;-0.01844
2001-11-13;0.02037;0.02592
2001-11-14;0.007424;0.001325
2001-11-15;0.004953;0.0106
2001-11-16;-0.0005471;0.01118
2001-11-19;0.01103;0.0239
2001-11-20;-0.007554;-0.0173
2001-11-21;-0.006759;-0.001797
2001-11-22;0;0.007347
2001-11-23;0.01263;0.005144
2001-11-26;0.002311;-0.00718
